year,month,temp,sd,nbr
1936,11,6.95,2.365382887556277,90
1936,12,4.4,1.5906965669235729,93
1937,01,0.3,3.522124356308231,93
1937,02,0.75,1.672048825487324,84
1937,03,1.8,2.2769922665967024,93
1937,04,6,1.8087303884154564,90
1937,05,12,3.2517007453424127,93
1937,06,15.1,2.698457736801407,90
1937,07,17.8,2.0355334551261546,93
1937,08,19,1.9475995462414417,93
1937,09,15.5,2.424264564080039,90
1937,10,11.4,1.6043076946320596,93
1937,11,5.3,3.0828234217495964,90
1937,12,1,2.9452341039497565,93
1938,01,2.8,2.2595183325001282,93
1938,02,2.1,2.1318860956269408,84
1938,03,5.8,1.7571532823814804,93
1938,04,6.7,2.1313708201609844,90
1938,05,10.5,2.792040630719844,93
1938,06,14,1.6691894763971094,90
1938,07,17.5,2.35923825473181,93
1938,08,19.6,2.776037432063358,93
1938,09,16,1.8784436541450353,90
1938,10,11.5,2.684785627623304,93
1938,11,9,1.5488342843730694,90
1938,12,1,4.394424620122125,93
1939,01,2.2,2.257952027519357,93
1939,02,3.1500000000000004,1.9910942712530308,84
1939,03,2.5,2.057612236535842,93
1939,04,6.4,2.4138388466358083,90
1939,05,11,3.2565516370464453,93
1939,06,16.2,2.616097292475068,90
1939,07,17.8,2.2278823040148037,93
